Wechselrichter Logdaten
Wechselrichter Nr:	255
Name:	SPV_Monitor    
akt. Zeit:	  13976816

Logdaten U[V], I[mA], P[W], E[kWh], F[Hz], R[kOhm], Ain T[digit], Zeit[sec]
Zeit	DC1 U	DC1 I	DC1 P	DC1 T	DC1 S	DC2 U	DC2 I	DC2 P	DC2 T	DC2 S	DC3 U	DC3 I	DC3 P	DC3 T	DC3 S	AC1 U	AC1 I	AC1 P	AC1 T	AC2 U	AC2 I	AC2 P	AC2 T	AC3 U	AC3 I	AC3 P	AC3 T	AC F	FC I	Ain1	Ain2	Ain3	Ain4	AC S	Err	ENS S	ENS Err	KB S	total E	Iso R	Ereignis
    411909	   427	    40	    21	38718	16393	   419	    50	    23	38678	49162	     0	     0	     0	37641	    3	   226	   430	    21	38109	   228	     0	     0	39436	   228	     0	     0	39446	50.0	    0	    0	    0	    0	    0	   36	    0	  3	    0
    412809	   432	    60	    28	38363	16393	   431	    60	    29	38310	49162	     0	     0	     0	37261	    3	   227	   450	    34	37727	   227	     0	     0	39060	   227	     0	     0	39073	50.0	    0	    0	    0	    0	    0	   36	    0	  3	    0
    413709	   423	    70	    31	37978	16393	   429	    60	    30	37942	49162	     0	    10	     0	36913	    3	   227	   450	    37	37388	   227	     0	     0	38717	   226	     0	     0	38736	50.0	    0	    0	    0	    0	    0	   36	    0	  3	    0
    413710	   421	    70	    30	37856	16393	   421	    70	    30	37792	49162	     0	    10	     0	36768	    3	   227	   450	    35	37248	   226	     0	     0	38560	   226	     0	     0	38592	50.0	    0	    0	    0	    0	    0	   36	    0	  3	    0
    414610	   400	    60	    25	37777	16393	   407	    60	    25	37702	49162	     0	    10	     0	36638	    3	   229	   440	    27	37143	   228	     0	     0	38430	   228	     0	     0	38456	49.9	    0	    0	    0	    0	    0	   36	    0	  3	    0
    415510	   406	    50	    25	37546	16393	   412	    50	    25	37464	49162	     0	    10	     0	36378	    3	   227	   440	    26	36907	   229	     0	     0	38182	   228	     0	     0	38206	49.9	    0	    0	    0	    0	    0	   36	    0	  3	    0
    416410	   429	    70	    31	37232	16393	   429	    70	    32	37166	49162	     0	    10	     0	36117	    3	   228	   460	    38	36641	   230	     0	     0	37943	   228	     0	     0	37965	50.0	    0	    0	    0	    0	    0	   36	    0	  3	    0
    417310	   427	   100	    42	36674	16393	   425	    90	    43	36652	49162	     0	    10	     0	35790	    3	   227	   520	    59	36300	   229	     0	     0	37658	   229	     0	     0	37682	50.0	    0	    0	    0	    0	    0	   36	    0	  3	    0
    418210	   422	   100	    46	36251	16393	   419	   100	    48	36239	49162	     0	    10	     0	35489	    3	   228	   540	    66	35986	   226	     0	     0	37357	   229	     0	     0	37396	50.0	    0	    0	    0	    0	    0	   36	    0	  3	    0
    419110	   415	    90	    38	36160	16393	   407	    90	    40	36120	49162	     0	    10	     0	35289	    3	   229	   500	    52	35806	   227	     0	     0	37118	   229	     0	     0	37166	49.9	    0	    0	    0	    0	    0	   36	    0	  3	    0
